,full_formula,DebyeTemp,spacegroup.number,structure.lattice.a,structure.lattice.b,structure.lattice.c,structure.lattice.alpha,structure.lattice.beta,structure.lattice.gamma
824,Al3Zr1,454.914,221,4.108855,4.108855,4.108855,90.0,90.0,90.0
825,Dy2Pt4,251.598,227,5.404222,5.404222,5.404222,60.0,60.0,60.0
826,Rh4Te8,272.968,205,6.519602,6.519602,6.519602,90.0,90.0,90.0
827,S8Zr6,223.073,227,7.624442,7.624442,7.624442,60.0,60.0,60.0
828,Br8Cu8,180.744,205,6.959473,6.959473,6.959473,90.0,90.0,90.0
829,Ni2Zr4,186.771,140,5.279898,5.279898,5.279898,104.3107,104.3107,120.3738
830,Ho4Mg8,207.845,194,6.030684,6.030335,9.775683,90.0,90.0,120.0019
831,F4Nb1,360.503,139,5.325656,5.325656,5.325656,133.9301,133.9301,67.19721
832,Dy1H2,388.194,225,3.668171,3.668171,3.668171,60.0,60.0,60.0
833,Al2Y2,339.463,63,6.116927,6.116927,4.417465,90.0,90.0,143.4781
834,Hf1Pd3,302.092,221,3.993649,3.993649,3.993649,90.0,90.0,90.0
835,Al8Er12,247.123,136,8.162637,8.162637,7.5333749999999995,90.0,90.0,90.0
836,Er1Mg1,222.117,221,3.764693,3.764693,3.764693,90.0,90.0,90.0
837,Pb3U1,143.212,221,4.896649,4.896649,4.896649,90.0,90.0,90.0
838,O24Y16,467.466,206,9.268551,9.268551,9.268551,109.4712,109.4712,109.4712
839,Dy4Tl2,161.1,194,5.408513,5.408513,6.712164,90.0,90.0,119.9963
840,Nb3O3,641.996,221,4.252408,4.252408,4.252408,90.0,90.0,90.0
841,B2N2,1895.28,186,2.555175,2.555175,4.224369,90.0,90.0,119.9986
842,In2Pt1,170.976,225,4.536836,4.536836,4.536836,60.0,60.0,60.0
843,Bi2Rh2,191.766,194,4.140882,4.140882,5.72642,90.0,90.0,120.0037
844,Au1Rb1,109.867,221,4.156716,4.156716,4.156716,90.0,90.0,90.0
845,Re8Zr4,239.545,194,5.319769,5.319769,8.700589,90.0,90.0,119.998
846,Ba4Si8,312.66,212,6.768988,6.768988,6.768988,90.0,90.0,90.0
847,Cd2Se2,173.812,186,4.373757,4.373757,7.132845,90.0,90.0,119.994
848,Pb4Pt2,126.857,140,5.763625,5.763625,5.763625,104.8966,104.8966,119.068
849,Ir2O4,442.455,136,4.5436440000000005,4.5436440000000005,3.190912,90.0,90.0,90.0
850,Al8Zr4,547.04,194,5.303946,5.303946,8.772735,90.0,90.0,120.0003
851,Se8Th4,185.217,62,4.533291,7.778704,9.337932,90.0,90.0,90.0
852,P4W12,327.657,82,7.438133,7.438133,7.438133,96.17074,96.17074,141.7222
853,Be6F12,462.44,217,7.331849,7.331849,7.331849,109.4712,109.4712,109.4712
854,Se1Sn1,238.066,225,4.317843,4.317843,4.317843,60.0,60.0,60.0
855,Ge6Ta10,331.221,140,7.689683,7.689683,7.689683,96.66465,96.66465,140.1643
856,Rh9S12,434.46,12,7.546989,7.546989,6.327647,77.55377,77.55377,91.96944
857,B6Gd1,575.311,221,4.108095,4.108095,4.108095,90.0,90.0,90.0
858,O4Ti2,776.075,136,4.674853,4.674853,3.024909,90.0,90.0,90.0
859,Mg1Y1,280.826,221,3.801606,3.801606,3.801606,90.0,90.0,90.0
860,Nb1Ru1,200.457,221,3.190011,3.190011,3.190011,90.0,90.0,90.0
861,H2Nb1,575.493,225,3.233034,3.233034,3.233034,60.0,60.0,60.0
862,N3V2,908.718,164,2.857718,2.85774,6.273708,89.99996,90.0,119.9998
863,Ba2Te4,158.607,140,6.86342,6.86342,6.86342,116.3379,116.3379,96.46936
864,O2Sr1,414.103,139,4.246373,4.246373,4.246373,130.2546,130.2546,73.00014
865,Hg1Se1,140.342,216,4.426394,4.426394,4.426394,60.0,60.0,60.0
866,Au1Li3,159.509,225,4.4711549999999995,4.4711549999999995,4.4711549999999995,60.0,60.0,60.0
867,Ir2Ti6,252.165,223,5.105742,5.105742,5.105742,90.0,90.0,90.0
868,P6Sr6,298.046,189,8.095986,8.095985,6.051737,90.0,90.0,120.0
869,K5Pb24,98.3875,217,10.85127,10.85127,10.85127,109.4712,109.4712,109.4712
870,Ca2Rh4,312.172,227,5.343493,5.343493,5.343493,60.0,60.0,60.0
871,B2Tc6,521.468,63,4.869676,4.869676,7.239512,90.0,90.0,144.8863
872,Al3Dy1,414.598,221,4.255556,4.255556,4.255556,90.0,90.0,90.0
873,Co4Sb12,311.69,204,7.870988,7.870988,7.870988,109.4712,109.4712,109.4712
874,Er2Sn4,218.789,63,8.531227,8.531227,4.397287,90.0,90.0,149.8975
875,Hg1Ni1,193.275,123,3.09102,3.09102,3.236939,90.0,90.0,90.0
876,Na6O6,484.851,189,6.258508,6.258508,4.490133,90.0,90.0,120.0
877,In2Sc4,322.638,194,5.114033,5.114033,6.382913,90.0,90.0,119.9954
878,Nb6Rh2,394.003,223,5.184054,5.184054,5.184054,90.0,90.0,90.0
879,Ag1Cl1,147.567,225,3.97182,3.97182,3.97182,60.0,60.0,60.0
880,B1P1,1062.45,216,3.214803,3.214803,3.214803,60.0,60.0,60.0
881,N1Pu1,333.984,225,3.492053,3.492053,3.492053,60.0,60.0,60.0
882,Ni2S4,449.119,58,3.654842,4.694833,5.796434,90.0,90.0,90.0
883,Mg2O2,668.538,194,3.526297,3.5260920000000002,4.237415,90.0,90.0,120.0019
884,F2Kr1,133.981,139,4.576697,4.576697,4.576697,122.0389,122.0389,86.50332
885,K2Te1,147.992,225,5.822691,5.822691,5.822691,60.0,60.0,60.0
886,Er2Si4,265.087,141,7.954111,7.954111,7.954111,151.5986,151.5986,40.59973
887,Fe1Ti1,617.004,221,2.999772,2.999772,2.999772,90.0,90.0,90.0
888,Gd1Rh1,239.221,221,3.4676869999999997,3.4676869999999997,3.4676869999999997,90.0,90.0,90.0
889,Ti4Zn8,416.01,194,5.075814,5.07583,8.219749,90.0,90.0,119.9999
890,K10Te6,165.169,87,10.32565,10.32565,10.32565,95.68388,95.68388,143.3139
891,Hg2Pt1,142.521,123,4.802139,4.802139,2.9769769999999998,90.0,90.0,90.0
892,Al1Y3,287.165,221,4.778135,4.778135,4.778135,90.0,90.0,90.0
893,Mg2Si1,569.25,225,4.490503,4.490503,4.490503,60.0,60.0,60.0
894,Te1Y1,201.92,225,4.37342,4.37342,4.37342,60.0,60.0,60.0
895,Er2Hg6,138.036,194,6.622942,6.623121,4.981901,90.0,90.0,119.9991
896,Ga1Rh1,311.592,221,3.019341,3.019341,3.019341,90.0,90.0,90.0
897,Cs2N6,170.523,140,6.26996,6.26996,6.26996,115.4515,115.4515,98.07722
898,Cd2Mg2,234.111,51,3.231901,5.02919,5.263556,90.0,90.0,90.0
899,Pt4Tb8,152.28,62,4.792937,7.159858,8.804204,90.0,90.0,90.0
900,Be26Th2,809.793,226,7.352724,7.352724,7.352724,60.0,60.0,60.0
901,O2Zr6,361.954,182,5.666825,5.666768,5.238639,89.99964,90.0,120.0003
902,Ca1O2,530.554,139,4.184094,4.184094,4.184094,133.6006,133.6006,67.71254
903,C2Nb2,500.762,194,3.7288769999999998,3.728488,4.449727,90.0,90.0,120.0034
904,Si6Zr10,453.28,193,8.010559,8.010559,5.5856069999999995,90.0,90.0,120.0
905,Sb6Sr10,205.924,193,9.59561,9.59561,7.455706,90.0,90.0,120.0005
906,In12Ru4,284.682,136,7.054512,7.054512,7.287936,90.0,90.0,90.0
907,Ag2Cl2,161.142,11,3.983214,3.961302,5.632465,89.43821,90.0,90.0
908,B6Ca1,890.143,221,4.148593,4.148593,4.148593,90.0,90.0,90.0
909,Cr4Hf2,277.864,227,5.0354659999999996,5.0354659999999996,5.0354659999999996,60.0,60.0,60.0
910,Al4Ba2,305.707,227,6.038232,6.038232,6.038232,60.0,60.0,60.0
911,Mo1N1,459.536,221,2.719472,2.719472,2.719472,90.0,90.0,90.0
912,Mn4Pd8,269.407,62,4.170976,5.514497,8.184446,90.0,90.0,90.0
913,As6Yb8,195.911,220,7.729116,7.729116,7.729116,109.4712,109.4712,109.4712
914,S12Th8,258.637,62,3.994804,11.1285,11.35147,90.0,90.0,90.0
915,Nb2Te8,184.741,124,6.621236,6.621236,6.947946,90.0,90.0,90.0
916,Ba2Hg1,120.564,139,8.184347,8.184347,8.184347,149.8029,149.8029,43.23081
917,Ru1Ta1,244.301,221,3.192471,3.192471,3.192471,90.0,90.0,90.0
918,Pt1Zn1,290.287,123,2.8684529999999997,2.8684529999999997,3.382258,90.0,90.0,90.0
919,B2N2,906.426,194,2.512269,2.512594,8.090005,90.0,90.0,119.9957
920,In1La3,140.362,221,5.121432,5.121432,5.121432,90.0,90.0,90.0
921,Sn6Ti10,317.619,63,8.181525,8.231393,5.56857,90.0,90.0,119.7998
922,F4Pb1,265.129,139,5.199454,5.199454,5.199454,130.2689,130.2689,72.97725
923,Ga2Y1,360.364,191,4.215168,4.215168,4.084477,90.0,90.0,119.993
924,Rh4Sn8,253.732,64,7.05911,7.05911,6.424385,90.0,90.0,125.7976
925,Ir4Sb12,285.454,204,8.107103,8.107103,8.107103,109.4712,109.4712,109.4712
926,B4Pd10,303.951,15,6.956359,6.956359,5.509959,83.47202,83.47202,41.84683
927,Er2Te4,164.159,129,4.433924,4.433924,8.81009,90.0,90.0,90.0
928,Ca4Cl8,245.402,60,6.33629,6.976271,7.728105,90.0,90.0,90.0
929,Se1Tl1,74.7529,221,3.742751,3.742751,3.742751,90.0,90.0,90.0
930,H6Y2,580.43,63,3.67071,3.67071,6.556899,90.0,90.0,120.2446
931,N3Ta3,518.308,189,5.259251,5.259251,2.945751,90.0,90.0,119.9992
932,Ir4V4,400.687,65,5.304951,5.304951,3.9662889999999997,90.0,90.0,94.3097
933,La2Ni2,177.103,63,5.786372,5.786372,4.429949,90.0,90.0,140.846
934,Mo4O12,349.448,62,3.701818,3.96322,16.26292,90.0,90.0,90.0
935,O12Si6,606.552,194,9.216013,9.216013,5.259917,90.0,90.0,120.0
936,Ho4Re8,204.425,194,5.427902,5.427902,8.82585,90.0,90.0,119.9997
937,Cl1Rb1,167.96,221,4.002728,4.002728,4.002728,90.0,90.0,90.0
938,Au2Yb1,132.739,139,5.35715,5.35715,5.35715,138.5734,138.5734,60.02598
939,H9La4,365.641,139,6.944843,6.944843,6.944843,132.0547,132.0547,70.14267
940,N1Th1,345.413,225,3.770024,3.770024,3.770024,60.0,60.0,60.0
941,Ir3Nb1,439.898,221,3.905781,3.905781,3.905781,90.0,90.0,90.0
942,Al2Zr4,321.839,140,5.54418,5.54418,5.54418,103.7511,103.7511,121.6407
943,O8Zr4,483.806,60,5.299215,5.836647,5.028948,90.0,90.0,90.0
944,Dy2Ge2,292.96,63,5.775802,5.775802,3.950063,90.0,90.0,136.4839
945,O6Ti4,641.518,167,5.530513,5.530513,5.530513,55.04518,55.04518,55.04518
946,Mg6Zn33,302.084,200,8.447754,8.447754,8.447754,90.0,90.0,90.0
947,Co6S8,417.457,227,6.8291830000000004,6.8291830000000004,6.8291830000000004,60.0,60.0,60.0
948,Al2Li2,542.347,227,4.506565,4.506565,4.506565,60.0,60.0,60.0
949,B6Ba1,803.785,221,4.277611,4.277611,4.277611,90.0,90.0,90.0
950,Rh4Sn4,271.308,198,5.237066,5.237066,5.237066,90.0,90.0,90.0
951,O8Ti4,630.872,141,6.044075,6.044075,6.044075,120.2731,120.2731,89.52758
952,Li2Pt1,254.585,191,4.182995,4.18282,2.685971,90.0,90.0,120.0014
953,Re8Zr4,241.838,194,5.315199,5.315352,8.704219,90.0,90.0,120.001
954,H1Na1,505.979,225,3.395765,3.395765,3.395765,60.0,60.0,60.0
955,Cu1Hf2,265.43,139,6.030656,6.030656,6.030656,149.4485,149.4485,43.75155
956,H2Ta1,375.272,225,3.223302,3.223302,3.223302,60.0,60.0,60.0
957,Hf4O8,457.122,14,5.194331,5.142309,5.325932,80.31672,90.0,90.0
958,Pb4S4,220.548,225,4.248025,4.250912,12.01696,90.0,90.0,90.0
959,O2Pa1,420.966,225,3.858976,3.858976,3.858976,60.0,60.0,60.0
960,Al2Th1,342.84,191,4.431402,4.431239,4.227009,90.0,90.0,120.0012
961,Be4Ta2,529.087,227,4.642247,4.642247,4.642247,60.0,60.0,60.0
962,Cd1N1,172.043,216,3.640353,3.640353,3.640353,60.0,60.0,60.0
963,Ir3Ti1,411.507,221,3.872467,3.872467,3.872467,90.0,90.0,90.0
964,Ag1I1,97.0247,216,4.701554,4.701554,4.701554,60.0,60.0,60.0
965,Au2Ho1,186.477,139,5.219846,5.219846,5.219846,138.2313,138.2313,60.54887
966,B12Yb1,1011.74,225,5.303125,5.303125,5.303125,60.0,60.0,60.0
967,Rh2V6,497.107,223,4.8023679999999995,4.8023679999999995,4.8023679999999995,90.0,90.0,90.0
968,Rh2Sn4,245.136,140,5.464022,5.464022,5.464022,106.3865,106.3865,115.8343
969,Pu1Ru1,98.627,221,3.259407,3.259407,3.259407,90.0,90.0,90.0
970,C11N4,1978.29,111,3.540194,3.540194,6.998938,90.0,90.0,90.0
971,Dy4In2,185.278,194,5.391761,5.391578,6.717029,90.0,90.0,120.0011
972,Ag2I2,137.683,11,4.35949,4.36017,6.173913,90.19359,90.0,90.0
973,N1Y1,607.319,225,3.479254,3.479254,3.479254,60.0,60.0,60.0
974,As2Ga2,322.023,186,4.04058,4.04058,6.661094,90.0,90.0,119.9951
975,Mg1Te1,278.499,225,4.223977,4.223977,4.223977,60.0,60.0,60.0
976,N2Os2,501.242,131,2.6973570000000002,2.6973570000000002,6.152497,90.0,90.0,90.0
977,Hf16Rh8,217.433,227,8.7118,8.7118,8.7118,60.0,60.0,60.0
978,Ru8Si4,452.517,62,4.024402,5.313673,7.400962,90.0,90.0,90.0
979,Zn4Zr2,360.854,227,5.208319,5.208319,5.208319,60.0,60.0,60.0
980,Ge4Hf2,330.967,63,7.71488,7.71488,3.783077,90.0,90.0,151.3618
981,Nb1Pt2,314.538,71,4.917922,4.917922,4.917922,146.5101,132.3387,59.50294
982,Ir1Yb1,176.667,221,3.377358,3.377358,3.377358,90.0,90.0,90.0
983,Ca4Cd8,225.463,194,6.057526,6.057526,9.667287,90.0,90.0,120.0002
984,Os4Th2,151.602,227,5.54687,5.54687,5.54687,60.0,60.0,60.0
985,Ga4Pt4,256.04,198,4.942263,4.942263,4.942263,90.0,90.0,90.0
986,In3Lu1,202.867,221,4.528103,4.528103,4.528103,90.0,90.0,90.0
987,Bi1K3,125.076,225,6.146343,6.146343,6.146343,60.0,60.0,60.0
988,Os3Ti1,345.746,221,3.9015269999999997,3.9015269999999997,3.9015269999999997,90.0,90.0,90.0
989,In4Pd8,221.119,62,4.252798,5.679587,8.318385,90.0,90.0,90.0
990,Co4Sb12,311.924,204,7.870081,7.870081,7.870081,109.4712,109.4712,109.4712
991,Ga3Ho1,270.311,221,4.247663,4.247663,4.247663,90.0,90.0,90.0
992,Tc8Zr4,174.495,194,5.239905,5.239905,8.754543,90.0,90.0,119.9948
993,Be26Sc2,1158.37,226,7.11781,7.11781,7.11781,60.0,60.0,60.0
994,C2Re1,631.262,187,2.885429,2.885429,4.06475,90.0,90.0,120.0002
995,Mg8O8,664.055,72,8.177995,8.177995,8.177995,150.1778,135.3257,54.64168
996,Hf1Os3,305.59,221,3.971668,3.971668,3.971668,90.0,90.0,90.0
997,Co4Sb12,311.725,204,7.871369,7.871369,7.871369,109.4712,109.4712,109.4712
998,N2Os1,319.627,225,3.448282,3.448282,3.448282,60.0,60.0,60.0
999,Ba6Si46,452.955,223,10.30822,10.30822,10.30822,90.0,90.0,90.0
1000,As1In1,224.839,225,4.046701,4.046701,4.046701,60.0,60.0,60.0
1001,Mg2Te2,181.744,186,4.606536,4.606536,7.479241,90.0,90.0,120.0013
1002,P1U1,199.927,225,4.165047,4.165047,4.165047,60.0,60.0,60.0
1003,Mg1S1,345.631,216,4.02376,4.02376,4.02376,60.0,60.0,60.0
1004,Nb1Rh1,343.477,123,2.872531,2.872531,3.855916,90.0,90.0,90.0
1005,Ni1Pt1,331.309,123,2.7698419999999997,2.7698419999999997,3.58393,90.0,90.0,90.0
1006,Ho1Zn1,201.033,221,3.5477819999999998,3.5477819999999998,3.5477819999999998,90.0,90.0,90.0
1007,Pd3Ti1,349.993,221,3.931935,3.931935,3.931935,90.0,90.0,90.0
1008,Cs1H1,155.494,221,3.8426929999999997,3.8426929999999997,3.8426929999999997,90.0,90.0,90.0
1009,Os10W20,355.949,136,9.728446,9.728446,5.012942,90.0,90.0,90.0
1010,C1Ru1,218.706,216,3.21918,3.21918,3.21918,60.0,60.0,60.0
1011,Se1Y1,255.029,225,4.086615,4.086615,4.086615,60.0,60.0,60.0
1012,Se2Ti2,273.619,194,3.8926790000000002,3.893071,6.691235,90.0,90.0,119.9967
1013,C1Sn1,442.016,216,3.6609,3.6609,3.6609,60.0,60.0,60.0
1014,Pd8Sb4,243.733,36,9.026997,9.026997,7.044221,90.0,90.0,158.2716
1015,Be1S1,708.696,216,3.447188,3.447188,3.447188,60.0,60.0,60.0
1016,C1Nb1,734.153,225,3.171449,3.171449,3.171449,60.0,60.0,60.0
1017,C4O8,178.252,205,5.894251,5.894251,5.894251,90.0,90.0,90.0
1018,Hf1Pt1,162.128,221,3.312446,3.312446,3.312446,90.0,90.0,90.0
1019,Hf2Pt2,223.95,63,5.418803,5.418803,4.266877,90.0,90.0,143.5002
1020,N2Os1,462.939,191,2.834143,2.834143,4.971191,90.0,90.0,120.0
1021,Cd1Pt1,232.607,123,3.009313,3.009313,3.831082,90.0,90.0,90.0
1022,F4Mg2,596.198,136,4.6912,4.6912,3.096,90.0,90.0,90.0
1023,Ag1N1,277.239,225,3.264869,3.264869,3.264869,60.0,60.0,60.0
1024,Rh8S12,455.857,60,6.050733,6.21552,8.563187,90.0,90.0,90.0
1025,Ho4Si4,354.473,62,3.816484,5.677708,7.873844,90.0,90.0,90.0
1026,P1Sn1,294.397,107,4.149256,4.149256,4.149256,123.6859,123.6859,83.72627
1027,Ca1Cd1,233.551,221,3.8378,3.8378,3.8378,90.0,90.0,90.0
1028,C1Re1,468.014,221,2.704671,2.704671,2.704671,90.0,90.0,90.0
1029,Ca2Pt4,262.175,227,5.429119,5.429119,5.429119,60.0,60.0,60.0
1030,H2Hf1,245.302,139,3.271165,3.271165,3.271165,115.752,115.752,97.53009
1031,Mn2Sn4,337.913,140,5.4236509999999996,5.4236509999999996,5.4236509999999996,104.2272,104.2272,120.5616
1032,Dy2Se4,256.132,129,4.075807,4.075807,8.331636,90.0,90.0,90.0
1033,Au2Ti6,321.154,223,5.243398,5.243398,5.243398,90.0,90.0,90.0
1034,C1N2,1628.88,119,3.4663589999999997,3.4663589999999997,3.4663589999999997,138.2804,138.2804,60.47384
1035,Ge4Th2,196.612,141,8.99459,8.99459,8.99459,153.4359,153.4359,37.92009
1036,Te1Zr1,300.299,187,3.7997449999999997,3.7997449999999997,3.89419,90.0,90.0,120.0017
1037,Ni2Zr2,245.427,63,5.230003,5.230003,4.061952,90.0,90.0,143.2568
1038,Ir6Th14,161.696,186,10.34052,10.34052,6.49942,90.0,90.0,120.0008
1039,Be5Fe1,991.58,216,4.224118,4.224118,4.224118,60.0,60.0,60.0
1040,Ni4P8,576.891,205,5.445027,5.445027,5.445027,90.0,90.0,90.0
1041,Pb6Tb10,211.007,193,9.108541,9.108541,6.659761,90.0,90.0,120.0004
1042,Ni4Zr2,356.151,227,4.895401,4.895401,4.895401,60.0,60.0,60.0
1043,Ba1Cl2,193.242,225,5.238365,5.238365,5.238365,60.0,60.0,60.0
1044,Ag2Li2,183.361,141,5.092701,5.092701,5.092701,134.0155,134.0155,67.06386
1045,F1Li1,681.299,225,2.884361,2.884361,2.884361,60.0,60.0,60.0
1046,La6Tl10,153.13,63,6.804422,6.804422,10.87233,90.0,90.0,102.2061
1047,Au3K2,138.64,71,6.273339,6.273339,6.273339,132.9264,127.146,73.44676
1048,Ga4Ru2,424.289,70,5.993694,4.971257,4.747862,76.11114,53.6262,50.26266
1049,Ir8Si4,348.112,62,3.978193,5.298966,7.649404,90.0,90.0,90.0
1050,Ho2Zn4,240.055,74,5.618818,5.618818,5.618818,133.2136,102.277,95.89134
1051,Mg2Se2,247.367,186,4.256949,4.256949,6.862683,90.0,90.0,120.0026
1052,P12Pd4,389.719,204,7.112952,7.112952,7.112952,109.4712,109.4712,109.4712
1053,Nb6Rh6,337.804,51,2.86442,4.853312,13.77886,90.0,90.0,90.0
1054,Cd2La1,184.118,191,5.159499,5.159582,3.556152,89.9995,89.9999,119.9996
1055,Pt12Tl8,197.129,194,5.71331,5.713319,14.04006,90.00007,89.99987,119.9999
1056,Os8Sc22,274.156,225,9.60729,9.60729,9.60729,60.0,60.0,60.0
1057,Au4Ca12,165.397,62,6.832416,7.8310949999999995,9.976652,90.0,90.0,90.0
1058,Cd1La1,173.986,221,3.945954,3.945954,3.945954,90.0,90.0,90.0
1059,Ir3Pa1,319.949,221,4.060565,4.060565,4.060565,90.0,90.0,90.0
1060,La14Pt6,146.342,186,10.46047,10.46047,6.629716,90.0,90.0,120.0
1061,Ca1F2,460.418,123,3.748474,3.748474,3.019565,90.0,90.0,90.0
1062,As8Hf4,344.223,62,3.708072,6.827604,9.021177,90.0,90.0,90.0
1063,In2Sb2,190.688,186,4.662914,4.662914,7.675161,90.0,90.0,119.9999
1064,Al4Ho8,223.914,62,5.077861,6.5298300000000005,9.413825,90.0,90.0,90.0
1065,N1Tb1,469.127,225,3.498338,3.498338,3.498338,60.0,60.0,60.0
1066,Pd6Te4,200.064,63,6.694517,6.694517,8.029072,90.0,90.0,146.4077
1067,Cd1Gd1,182.206,221,3.7793989999999997,3.7793989999999997,3.7793989999999997,90.0,90.0,90.0
1068,K8Sn46,116.421,223,12.78837,12.78837,12.78837,90.0,90.0,90.0
1069,Re1Ti1,248.827,221,3.160894,3.160894,3.160894,90.0,90.0,90.0
1070,Dy4Re8,192.218,194,5.438557,5.438619,8.844605,90.0,90.0,119.9996
1071,Pt3Sn1,216.151,221,4.053155,4.053155,4.053155,90.0,90.0,90.0
1072,La4Si4,316.88,62,4.023458,6.100008,8.492244,90.0,90.0,90.0
1073,I6Pb3,70.608,156,4.64805,4.64803,22.43393,90.00391,90.0,120.0001
1074,La1Se1,255.062,221,3.748553,3.748553,3.748553,90.0,90.0,90.0
1075,C1Hf1,540.065,225,3.288215,3.288215,3.288215,60.0,60.0,60.0
1076,Tb1Tl1,132.642,221,3.806178,3.806178,3.806178,90.0,90.0,90.0
1077,Dy4Os8,214.063,194,5.271103,5.27123,8.99327,90.0,90.0,119.9992
1078,Mg4O8,783.399,205,4.8975919999999995,4.8975919999999995,4.8975919999999995,90.0,90.0,90.0
1079,C8Cs1,629.782,191,4.9747319999999995,4.974727,6.104976,90.0,90.0,120.0031
1080,N1Ti1,874.113,225,3.04884,3.04884,3.04884,60.0,60.0,60.0
1081,Hg1Mn1,158.007,221,3.431008,3.431008,3.431008,90.0,90.0,90.0
1082,Cd6Er2,202.714,63,6.469144,6.469144,4.84629,90.0,90.0,112.6819
1083,H2Tb1,384.778,225,3.696755,3.696755,3.696755,60.0,60.0,60.0
1084,H2Y1,522.934,225,3.6777800000000003,3.6777800000000003,3.6777800000000003,60.0,60.0,60.0
1085,Na8S4,300.282,62,4.315617,7.110234,8.364972999999999,90.0,90.0,90.0
1086,Ba8Bi6,127.505,220,9.286653,9.286653,9.286653,109.4712,109.4712,109.4712
1087,Ba1Cd1,154.473,221,4.2559190000000005,4.2559190000000005,4.2559190000000005,90.0,90.0,90.0
1088,Bi4Th2,160.304,129,4.574312,4.574312,9.642,90.0,90.0,90.0
1089,O2Zn2,385.923,186,3.288656,3.288656,5.305318,90.0,90.0,120.0008
1090,C8Si4,872.424,205,4.788216,4.788216,4.788216,90.0,90.0,90.0
1091,C8Si8,1148.79,186,3.094382,3.094392,20.24755,90.0,90.0,119.9999
1092,Ca8Pb4,179.215,62,5.138183,7.988047,9.688894,90.0,90.0,90.0
1093,S1Sc1,455.149,225,3.744351,3.744351,3.744351,60.0,60.0,60.0
1094,Ga2Mo6,446.249,223,4.995679,4.995679,4.995679,90.0,90.0,90.0
1095,Pb3Th1,85.7596,221,4.976502,4.976502,4.976502,90.0,90.0,90.0
1096,O3Re1,570.834,221,3.793113,3.793113,3.793113,90.0,90.0,90.0
1097,S8Ta12,315.355,39,9.19167,9.19167,7.571827,90.0,90.0,143.9072
1098,Zn1Zr2,261.126,139,6.121892,6.121892,6.121892,148.817,148.817,44.6808
1099,C1V1,958.958,225,2.963278,2.963278,2.963278,60.0,60.0,60.0
1100,In3Ni2,294.405,164,4.395475,4.395441,5.296623,90.0001,90.0,120.0003
1101,C4V8,659.458,60,4.556679,5.057864,5.843265,90.0,90.0,90.0
1102,As4Cd2,201.245,98,6.206987,6.206987,6.206987,98.51263,98.51263,134.7444
1103,Co4Sb12,311.811,204,7.871721,7.871721,7.871721,109.4712,109.4712,109.4712
1104,La2Mg4,247.967,227,6.219284,6.219284,6.219284,60.0,60.0,60.0
1105,Ir2V6,467.751,223,4.8065549999999995,4.8065549999999995,4.8065549999999995,90.0,90.0,90.0
1106,Al2N2,916.513,186,3.1284,3.1284,5.0129,90.0,90.0,120.0
1107,Tb1Tl3,115.954,221,4.767907,4.767907,4.767907,90.0,90.0,90.0
1108,Mg1Sr1,227.77,221,4.174702,4.174702,4.174702,90.0,90.0,90.0
1109,B4Tc2,904.377,194,2.904541,2.904451,7.475477,90.0,90.0,120.001
1110,Hg1La1,140.847,221,3.929445,3.929445,3.929445,90.0,90.0,90.0
1111,Ir4Sr2,250.602,227,5.451221,5.451221,5.451221,60.0,60.0,60.0
1112,N2U1,354.377,225,3.7674700000000003,3.7674700000000003,3.7674700000000003,60.0,60.0,60.0
1113,Hf1Ru1,350.416,221,3.23819,3.23819,3.23819,90.0,90.0,90.0
1114,Be2Hf2,325.391,63,5.270605,5.270605,3.744684,90.0,90.0,143.0818
1115,Cr1Si2,821.935,139,4.365022,4.365022,4.365022,138.6381,138.6381,59.92705
1116,Al3Sc1,563.875,139,5.293644,5.293644,5.293644,134.9307,134.9307,65.63795
1117,Hg4O4,128.137,62,3.7385859999999997,5.794003,6.742091,90.0,90.0,90.0
1118,Au2Hf2,230.982,129,3.483917,3.483917,6.388371,90.0,90.0,90.0
1119,Pt2Tl4,123.877,140,5.68832,5.68832,5.68832,104.2579,104.2579,120.4925
1120,Ag1La1,136.749,221,3.8597289999999997,3.8597289999999997,3.8597289999999997,90.0,90.0,90.0
1121,Au2Cd2,136.245,51,3.245054,4.813628,4.934827,90.0,90.0,90.0
1122,Be2Ta4,398.827,140,4.96717,4.96717,4.96717,104.4062,104.4062,120.1595
1123,P1Zr1,453.277,225,3.746201,3.746201,3.746201,60.0,60.0,60.0
1124,Mn1Te1,164.51,216,4.585472,4.585472,4.585472,60.0,60.0,60.0
1125,O8Zr4,536.898,62,3.386062,5.6341660000000005,6.582642,90.0,90.0,90.0
1126,N6Tl2,156.721,140,5.833696,5.833696,5.833696,114.1641,114.1641,100.4454
1127,Hf10Sn8,265.679,193,8.81788,8.81788,5.949677,90.0,90.0,119.9997
1128,P8Pt4,465.058,205,5.740852,5.740852,5.740852,90.0,90.0,90.0
1129,Se8Ta4,160.284,187,3.493065,3.493135,27.77102,90.0,90.0,119.9993
1130,C2Re1,654.228,123,2.689949,2.689949,3.866649,90.0,90.0,90.0
1131,Ir5Th1,294.768,191,5.341125,5.341125,4.335542,90.0,90.0,119.9956
1132,Na8Si46,530.912,223,10.23788,10.23788,10.23788,90.0,90.0,90.0
1133,Ga2Th1,308.746,191,4.293443,4.2932500000000005,4.311211,90.0,90.0,120.0015
1134,I1Tl1,96.8617,221,4.268474,4.268474,4.268474,90.0,90.0,90.0
