,full_formula,DebyeTemp,spacegroup.number,structure.lattice.a,structure.lattice.b,structure.lattice.c,structure.lattice.alpha,structure.lattice.beta,structure.lattice.gamma
5125,Rh3Si2Y1,462.864,191,5.52578,5.52578,3.631833,90.0,90.0,120.0052
5126,Au1Ho1Pb1,174.85,216,4.80995,4.80995,4.80995,60.0,60.0,60.0
5127,Ag2Dy1In1,170.341,225,4.941152,4.941152,4.941152,60.0,60.0,60.0
5128,Cd1Cl3Cs1,202.888,221,5.311825,5.311825,5.311825,90.0,90.0,90.0
5129,Li4O10Si4,653.135,37,7.99167,7.99167,4.833895,90.0081,90.0081,136.7635
5130,Ag2Al2Te4,179.162,122,7.593994,7.593994,7.593994,129.639,129.639,73.98456
5131,Au24Na8Si8,175.379,205,9.082927,9.082927,9.082927,90.0,90.0,90.0
5132,B1Rh3Y1,409.006,221,4.199033,4.199033,4.199033,90.0,90.0,90.0
5133,Cu2Er2Sn2,268.725,194,4.547921,4.547772,7.266395,90.0,90.0,120.0011
5134,Ir4La16Mg4,178.568,216,10.27625,10.27625,10.27625,60.0,60.0,60.0
5135,Ag2La1Si2,335.561,139,6.222555,6.222555,6.222555,139.4027,139.4027,58.76135
5136,Mg4N8Si4,859.828,33,5.029298,5.312083,6.502566,90.0,90.0,90.0
5137,Ca4O8Sn2,495.643,55,3.341153,5.825019,9.872165,90.0,90.0,90.0
5138,N4Sr2Ti2,441.852,129,3.932363,3.932363,7.839271,90.0,90.0,90.0
5139,Dy6Ga2O12,382.615,36,7.138968,7.138968,5.4446069999999995,90.0,90.0,102.831
5140,C1Ga1Sc3,570.132,221,4.547568,4.547568,4.547568,90.0,90.0,90.0
5141,Mn2Sn1W1,417.341,225,4.348202,4.348202,4.348202,60.0,60.0,60.0
5142,Br8Li6Mg1,239.068,225,7.818241,7.818241,7.818241,60.0,60.0,60.0
5143,Dy16Mg4Rh4,199.562,216,9.667459000000001,9.667459000000001,9.667459000000001,60.0,60.0,60.0
5144,Pd2Si2U1,302.142,139,5.829001,5.829001,5.829001,137.7357,137.7357,61.30801
5145,Al4Ge2La4,325.748,63,13.77733,13.77733,4.589204,90.0,90.0,162.5617
5146,B4Li4Rh6,483.218,55,2.83719,5.782986,9.502198,90.0,90.0,90.0
5147,Cu3O5Sr2,420.911,65,9.97239,9.97239,3.507288,90.0,90.0,157.0812
5148,Ca2In4P4,321.836,194,4.066003,4.066003,17.59788,90.0,90.0,119.9979
5149,Dy4Ga4Pd4,174.131,62,4.476478,6.928133,7.635262,90.0,90.0,90.0
5150,Ca1Pd2Si2,326.738,139,5.7191089999999996,5.7191089999999996,5.7191089999999996,136.3411,136.3411,63.45347
5151,In2Pt4Tb2,200.711,194,4.55886,4.558917,9.037496,90.0,90.0,119.9996
5152,Au1C2Cs1,170.112,123,4.867438,4.867438,5.243295,90.0,90.0,90.0
5153,Ba2Ce2N4,338.968,194,3.693339,3.693339,12.7747,90.0,90.0,119.9989
5154,K2Sb2Sn2,171.366,186,4.477515,4.477453,13.2724,90.0,90.0,120.0005
5155,Cu2Dy1Ge2,327.009,139,5.922529,5.922529,5.922529,139.9101,139.9101,57.98989
5156,B1Lu1Rh3,389.5,221,4.152993,4.152993,4.152993,90.0,90.0,90.0
5157,Cu1Ge6Y2,340.266,38,10.9232,10.9232,4.114299,90.0,90.0,158.6773
5158,Ge4Pt4Th2,232.604,129,4.442404,4.442404,9.965902,90.0,90.0,90.0
5159,O14V4Y4,624.615,227,7.158977,7.158977,7.158977,60.0,60.0,60.0
5160,F2Ho2S2,358.929,129,3.764729,3.764729,6.832053,90.0,90.0,90.0
5161,F2La2S2,342.731,129,4.081953,4.081953,7.092207,90.0,90.0,90.0
5162,Ru1Sb1Ti1,275.947,216,4.366461,4.366461,4.366461,60.0,60.0,60.0
5163,F8Pb2Pd2,224.701,140,6.956138,6.956138,6.956138,129.3086,129.3086,74.51445
5164,Co1La1Si3,449.269,107,5.646439,5.646439,5.646439,136.6493,136.6493,62.97814
5165,Lu1Pt1Sb1,238.902,216,4.579849,4.579849,4.579849,60.0,60.0,60.0
5166,Lu6Os8Si26,414.369,223,8.738911,8.738911,8.738911,90.0,90.0,90.0
5167,Ag2Ga2S4,253.457,122,6.679135,6.679135,6.679135,128.1024,128.1024,76.45914
5168,Au1Li2Sn1,199.513,216,4.665736,4.665736,4.665736,60.0,60.0,60.0
5169,Ga4Se8Sr2,208.442,66,6.360214,6.360214,11.11845,90.0,90.0,120.2888
5170,Ag2In2O4,258.166,194,3.325291,3.325291,12.83467,90.0,90.0,120.0011
5171,Al8B4Re12,354.421,227,7.618506,7.618506,7.618506,60.0,60.0,60.0
5172,Fe2Hf8P2,223.926,124,6.528086,6.528086,5.272411,90.0,90.0,90.0
5173,As1Ba1Pd1,205.739,187,4.392944,4.392944,4.79147,90.0,90.0,119.9999
5174,In2S6Zn3,276.032,156,3.8770249999999997,3.8770629999999997,18.33566,90.00085,89.99992,120.0002
5175,Co4Si4V4,628.351,62,3.528292,5.977791,6.767965,90.0,90.0,90.0
5176,Cu4Hf4Si4,381.23,62,3.898538,6.455762,7.300583,90.0,90.0,90.0
5177,P2Ru2Sr1,363.245,139,6.263114,6.263114,6.263114,142.0844,142.0844,54.70161
5178,Ba1Nb4O6,556.073,123,4.228743,4.228743,8.296299,90.0,90.0,90.0
5179,Ba2F8Pd2,230.648,140,7.140634,7.140634,7.140634,128.2012,128.2012,76.29934
5180,Be2C2N4,1675.21,122,4.390557,4.390557,4.390557,129.2509,129.2509,74.6072
5181,Al3Er3Ni3,286.809,189,6.969847,6.969896,3.756146,90.0,90.0,120.0002
5182,Ag1Cu4Yb1,209.29,216,5.105743,5.105743,5.105743,60.0,60.0,60.0
5183,B8Rh8Y2,473.041,137,5.319448,5.319448,7.447941,90.0,90.0,90.0
5184,Mg3Y3Zn3,287.516,189,7.558238,7.558238,4.170114,90.0,90.0,120.0013
5185,C2Co1Th1,419.846,38,3.8492759999999997,3.8492759999999997,3.946171,90.0,90.0,108.3284
5186,Ca1P2Ru2,463.393,139,5.685653,5.685653,5.685653,138.073,138.073,60.7912
5187,Cu3Nb1Te4,191.187,215,6.026241,6.026241,6.026241,90.0,90.0,90.0
5188,Al8C4Mo12,416.007,213,6.910223,6.910223,6.910223,90.0,90.0,90.0
5189,Dy4Ge4Mg2,320.899,127,7.267891,7.267891,4.244389,90.0,90.0,90.0
5190,In4Mn2S8,268.596,227,7.673085,7.673085,7.673085,60.0,60.0,60.0
5191,Cu2In1Lu1,238.554,225,4.622178,4.622178,4.622178,60.0,60.0,60.0
5192,Al4O8Zn2,751.727,227,5.731742,5.731742,5.731742,60.0,60.0,60.0
5193,C1Rh3Tb1,352.453,221,4.167472,4.167472,4.167472,90.0,90.0,90.0
5194,Al7Cu16Yb6,282.34,225,8.811081,8.811081,8.811081,60.0,60.0,60.0
5195,In2Se4Zn1,200.241,82,7.117227,7.117227,7.117227,131.9719,131.9719,70.27343
5196,Mg3Nb6O11,567.929,164,6.10189,6.10189,7.542429,89.99988,90.00012,120.0022
5197,F3Rb1Yb1,259.396,221,4.561705,4.561705,4.561705,90.0,90.0,90.0
